,total_queries,ctr,zero_resulto_rate,keywords,lang
1945,725.0,34.819897084,41.4522584334,plumeti,Spanish
2643,723.0,23.7612612613,81.4189189189,zips,English
1385,722.0,46.1969615025,3.54983037514,jogger,Spanish
1902,720.0,0.0,100.0,pinafore,English
1975,719.0,5.61926605505,82.4541284404,poplin,English
1117,718.0,34.0034462952,41.2406662837,flared,English
668,718.0,23.7371134021,9.25257731959,camo,English
2433,717.0,0.0,100.0,ties,English
897,715.0,48.0464625132,75.5015839493,cremalleras,Spanish
1633,714.0,47.2676644622,12.426035503,mochila,Spanish
1221,714.0,29.1724714405,19.894120925,gorra,Spanish
1193,712.0,16.3987138264,57.2347266881,gathered,English
2143,712.0,25.2541047694,55.6684910086,satin,English
1486,712.0,0.0,100.0,lencera,Spanish
1275,711.0,44.555984556,13.7258687259,high,Spanish
1454,710.0,41.4545454545,36.8831168831,lana,Spanish
2498,709.0,17.7106005643,5.71543732366,tshirt,English
1685,705.0,23.723335488,45.5720749838,necklace,English
1010,704.0,21.6644993498,4.57737321196,dresses,English
1160,703.0,0.0,100.0,frills,English
736,700.0,30.0109130593,3.63768643143,chamarra,Spanish
2272,699.0,5.68047337278,82.7218934911,sombrero,Spanish
1923,698.0,19.3863319386,48.6750348675,plano,Spanish
2561,697.0,27.5644141954,33.8842975207,vestir,Spanish
1318,695.0,50.2894954508,19.1618417425,iphone,English
1691,694.0,48.1884557102,9.56054552969,negros,Spanish
30,688.0,47.0893970894,35.7588357588,187,Spanish
885,687.0,36.1428571429,19.6285714286,cortos,Spanish
2203,687.0,23.8465814341,38.1878821568,silver,English
1081,686.0,0.0,100.0,fashion,English
1372,685.0,25.3224610823,5.07783543365,jerseis,Spanish
2378,683.0,0.0,100.0,talla,Spanish
2363,683.0,0.0,100.0,swimsuit,English
540,682.0,38.7147335423,35.632183908,bordados,Spanish
2081,673.0,12.7475247525,83.2920792079,rock,Spanish
1981,671.0,0.0,100.0,power,Spanish
307,669.0,49.4986326345,60.9845031905,alta,Spanish
1468,669.0,31.8651066758,46.0426703372,lazo,Spanish
1962,669.0,27.6912181303,47.3796033994,polo,English
1334,668.0,28.7182260681,36.1276365603,jacket,Spanish
712,668.0,50.9682571372,13.3359952086,case,English
688,667.0,30.46875,40.0841346154,capa,Spanish
928,663.0,0.0,100.0,cuffs,English
757,663.0,39.0260869565,23.0608695652,checked,English
2004,663.0,0.0,100.0,pullover,English
1506,662.0,30.8277027027,55.9121621622,line,English
1226,661.0,0.0,100.0,gown,English
859,657.0,5.16066212269,63.9727361246,contrast,English
554,656.0,40.1674815939,3.68684314056,botines,Spanish
2631,654.0,0.0,100.0,yute,Spanish
1444,653.0,45.6606217617,42.292746114,la,Spanish
1011,652.0,0.0,100.0,dressing,English
973,648.0,39.9524375743,77.0511296076,desmontable,Spanish
2640,647.0,0.0,100.0,zipped,English
655,644.0,37.6016260163,43.6314363144,camisero,Spanish
1721,643.0,41.5319747013,45.1862262825,nudo,Spanish
1266,639.0,25.9865255053,61.5014436959,hebilla,Spanish
556,636.0,28.115942029,36.8695652174,botones,Spanish
767,635.0,0.0,100.0,chicas,Spanish
2633,634.0,29.8195572642,3.93129534321,zapatillas,Spanish
388,633.0,48.9776046738,30.817916261,banda,Spanish
1576,633.0,25.1382467591,5.73837367419,men,English
1481,632.0,67.4213665944,8.568329718,leggins,Spanish
26,632.0,37.9733879222,64.6878198567,168,Spanish
1572,631.0,64.0811153359,15.9949302915,medias,Spanish
1644,631.0,46.2421406638,4.61324755081,monos,Spanish
876,629.0,24.9378624689,52.1126760563,corset,English
2329,625.0,21.7086662569,3.84142593731,sueter,Spanish
1340,625.0,0.0,100.0,jacquard,English
950,621.0,33.8758901322,63.1739572737,delantero,Spanish
1175,620.0,46.5665438746,5.85623878341,fundas,Spanish
1705,619.0,0.0,100.0,ninos,Spanish
2278,616.0,25.9812667261,13.7377341659,sport,English
1532,615.0,47.4240422721,81.2417437252,low,Spanish
1462,614.0,49.2467532468,31.8961038961,lateral,Spanish
2380,613.0,0.0,100.0,talle,Spanish
1103,612.0,44.708994709,53.9682539683,fino,Spanish
454,612.0,0.0,100.0,bikinis,Spanish
256,611.0,0.0,100.0,abierta,Spanish
379,610.0,0.0,100.0,baker,English
1089,608.0,75.85089141,32.8471096704,fedez,Spanish
1474,606.0,44.7024198823,19.8168737737,leg,English
2610,605.0,21.6699801193,6.3304384221,woman,English
2502,603.0,0.0,100.0,tube,English
437,600.0,3.99458361544,40.6228842248,bermuda,English
1136,593.0,74.9425815342,13.6196600827,fluffy,English
1319,593.0,50.260213375,7.71532656779,iphone,Spanish
1386,593.0,33.9268735414,5.12576713631,joggers,English
1784,585.0,20.4857444562,61.7740232313,palazzo,English
976,585.0,0.0,100.0,detachable,English
860,580.0,23.5668789809,73.8853503185,contraste,Spanish
1463,580.0,44.8343079922,56.530214425,laterales,Spanish
2563,579.0,0.0,100.0,vichy,Spanish
2573,576.0,24.3605359318,35.0791717418,viscose,English
2420,576.0,32.3632130384,67.0547147846,textura,Spanish
463,575.0,35.3911042945,22.0475460123,blancas,Spanish
2487,574.0,0.0,100.0,trim,English
882,573.0,47.577092511,63.1057268722,corte,Spanish
619,573.0,5.43881334981,70.8281829419,busos,Spanish
756,573.0,36.6205475419,16.8678245511,check,English
346,566.0,26.1074458058,53.3459000943,asimetrico,Spanish
877,566.0,34.0964840556,46.2796402289,corset,Spanish
1946,565.0,0.0,100.0,plumetis,English
1155,559.0,0.0,100.0,friend,Spanish
781,558.0,6.28342245989,74.5989304813,chokers,English
521,558.0,30.6206896552,38.4827586207,bolsillo,Spanish
905,557.0,27.186009539,5.90355060943,crop,Spanish
837,555.0,35.3013530135,34.1328413284,collar,Spanish
2619,555.0,60.2284011917,27.5571002979,wool,English
946,554.0,15.3378378378,37.4324324324,de,English
1614,553.0,14.8377125193,42.7357032457,military,English
537,553.0,16.5730337079,77.6685393258,bordada,Spanish
891,551.0,13.8274815778,23.8838318162,cotton,English
1223,549.0,33.569675484,14.9713662394,gorro,Spanish
1341,549.0,0.0,100.0,jacquard,Spanish
820,548.0,6.2404870624,83.4094368341,co,English
1131,545.0,9.14454277286,32.1533923304,flowing,English
1689,541.0,41.449031171,15.1923616962,negras,Spanish
1637,541.0,68.5115441297,8.85868675291,mom,Spanish
919,538.0,37.4701670644,64.200477327,cruzada,Spanish
2477,536.0,0.0,100.0,transparentes,Spanish
1870,536.0,44.8116438356,9.17808219178,pendientes,Spanish
1587,534.0,42.1508034611,22.0024721879,mesonera,Spanish
1731,532.0,0.0,100.0,ofertas,Spanish
1692,531.0,1.5873015873,56.1904761905,neon,English
2341,530.0,28.8659793814,15.1775486827,super,English
1940,529.0,26.2566528681,31.2832643406,pleated,English
